0,P^B,0.14,-0.21,0.84,0
1,P^B,0.15,-0.23,0.84,0
2,P^B,0.15,-0.22,0.84,0
3,P^B,0.15,-0.22,0.84,0
4,P^B,0.15,-0.23,0.84,0
5,P^B,0.16,-0.22,0.84,0
6,P^B,0.15,-0.22,0.83,0
7,P^B,0.15,-0.23,0.83,0
8,P^B,0.15,-0.23,0.83,0
9,P^B,0.15,-0.23,0.82,0
10,P^B,0.15,-0.23,0.84,0
11,P^B,0.14,-0.24,0.82,0
12,P^B,0.15,-0.23,0.84,0
13,P^B,0.15,-0.23,0.83,0
14,P^B,0.15,-0.22,0.84,0
15,P^B,0.15,-0.23,0.84,0
16,P^B,0.14,-0.24,0.83,0
17,P^B,0.15,-0.24,0.84,0
18,P^B,0.15,-0.23,0.83,0
19,P^B,0.15,-0.24,0.84,0
20,P^B,0.15,-0.23,0.82,0
21,P^B,0.15,-0.23,0.82,0
22,P^B,0.14,-0.23,0.83,0
23,P^B,0.15,-0.23,0.84,0
24,P^B,0.15,-0.22,0.82,0
25,P^B,0.15,-0.23,0.84,0
26,P^B,0.14,-0.21,0.83,0
27,P^B,0.15,-0.23,0.83,0
28,P^B,0.15,-0.23,0.83,0
29,P^B,0.15,-0.23,0.83,0
30,P^B,0.15,-0.23,0.83,0
31,P^B,0.16,-0.23,0.83,0
32,P^B,0.16,-0.23,0.83,0
33,P^B,0.14,-0.22,0.83,0
34,P^B,0.15,-0.23,0.84,0
35,P^B,0.15,-0.21,0.83,0
36,P^B,0.15,-0.23,0.82,0
37,P^B,0.15,-0.22,0.83,0
38,P^B,0.14,-0.23,0.82,0
39,P^B,0.15,-0.22,0.83,0
40,P^B,0.15,-0.22,0.83,0
41,P^B,0.14,-0.23,0.83,0
42,P^B,0.15,-0.22,0.83,0
43,P^B,0.15,-0.22,0.82,0
44,P^B,0.15,-0.22,0.83,0
45,P^B,0.14,-0.22,0.83,0
46,P^B,0.15,-0.23,0.83,0
47,P^B,0.15,-0.22,0.83,0
48,P^B,0.14,-0.23,0.83,0
49,P^B,0.14,-0.23,0.82,0
50,P^B,0.14,-0.24,0.83,0
51,P^B,0.16,-0.23,0.83,0
52,P^B,0.15,-0.24,0.82,0
53,P^B,0.16,-0.23,0.83,0
54,P^B,0.15,-0.23,0.84,0
55,P^B,0.15,-0.22,0.83,0
56,P^B,0.15,-0.23,0.83,0
57,P^B,0.15,-0.23,0.83,0
58,P^B,0.16,-0.25,0.83,0
59,P^B,0.15,-0.23,0.84,0
60,P^B,0.15,-0.23,0.83,0
61,P^B,0.15,-0.24,0.83,0
62,P^B,0.15,-0.23,0.85,0
63,P^B,0.14,-0.23,0.84,0
64,P^B,0.14,-0.23,0.83,0
65,P^B,0.16,-0.24,0.83,0
66,P^B,0.15,-0.24,0.83,0
67,P^B,0.14,-0.23,0.83,0
68,P^B,0.15,-0.23,0.84,0
69,P^B,0.15,-0.23,0.83,0
70,P^B,0.14,-0.23,0.82,0
71,P^B,0.15,-0.21,0.82,0
72,P^B,0.14,-0.22,0.83,0
73,P^B,0.15,-0.23,0.83,0
74,P^B,0.16,-0.23,0.83,0
75,P^B,0.15,-0.22,0.83,0
76,P^B,0.15,-0.22,0.83,0
77,P^B,0.15,-0.23,0.82,0
78,P^B,0.15,-0.24,0.83,0
79,P^B,0.16,-0.23,0.83,0
80,P^B,0.15,-0.23,0.82,0
81,P^B,0.14,-0.23,0.84,0
82,P^B,0.15,-0.22,0.83,0
83,P^B,0.15,-0.23,0.83,0
84,P^B,0.15,-0.24,0.83,0
85,P^B,0.15,-0.22,0.83,0
86,P^B,0.15,-0.23,0.82,0
87,P^B,0.15,-0.23,0.83,0
88,P^B,0.15,-0.22,0.83,0
89,P^B,0.15,-0.22,0.84,0
90,P^B,0.15,-0.24,0.83,0
91,P^B,0.15,-0.22,0.81,0
92,P^B,0.14,-0.22,0.83,0
93,P^B,0.14,-0.23,0.83,0
94,P^B,0.15,-0.23,0.84,0
95,P^B,0.14,-0.23,0.84,0
96,P^B,0.15,-0.22,0.83,0
97,P^B,0.15,-0.22,0.83,0
98,P^B,0.15,-0.25,0.83,0
99,P^B,0.15,-0.24,0.82,0
100,P^B,0.15,-0.23,0.83,0
101,P^B,0.17,-0.22,0.83,0
102,P^B,0.14,-0.22,0.83,0
103,P^B,0.15,-0.22,0.83,0
104,P^B,0.15,-0.23,0.83,0
105,P^B,0.15,-0.24,0.82,0
106,P^B,0.15,-0.22,0.82,0
107,P^B,0.15,-0.23,0.82,0
108,P^B,0.15,-0.22,0.82,0
109,P^B,0.14,-0.24,0.84,0
110,P^B,0.15,-0.22,0.84,0
111,P^B,0.15,-0.21,0.82,0
112,P^B,0.15,-0.23,0.83,0
113,P^B,0.14,-0.23,0.83,0
114,P^B,0.15,-0.22,0.83,0
115,P^B,0.15,-0.23,0.83,0
116,P^B,0.14,-0.23,0.84,0
117,P^B,0.15,-0.23,0.82,0
118,P^B,0.15,-0.22,0.83,0
119,P^B,0.15,-0.23,0.82,0
120,P^B,0.14,-0.23,0.83,0
121,P^B,0.14,-0.24,0.83,0
122,P^B,0.16,-0.22,0.84,0
